addr,cmp,BP4,BP3,BP2,BP1,BP0
4_PS P25Q40HDWF,0x856013,06H,,,,
64,0,0,1,0,0,1
128,0,0,1,0,1,0
256,1,0,0,0,1,1
384,1,0,0,0,1,0
448,1,0,0,0,0,1
480,1,1,0,1,0,0
496,1,1,0,0,1,1
504,1,1,0,0,1,0
508,1,1,0,0,0,1
RDSR1,05H,,,,,
RDSR2,35H,,,,,
WRSR,01H,sr1,sr2,,,
,,,,,,
,,,,,,
8_TL TH25Q-80UA,0xeb6014,06H,,,,
128,0,0,1,0,1,0
256,0,0,1,0,1,1
512,0,0,1,1,0,0
768,1,0,0,0,1,1
896,1,0,0,0,1,0
960,1,0,0,0,0,1
992,1,1,0,1,0,0
1008,1,1,0,0,1,1
1016,1,1,0,0,1,0
RDSR1,05H,,,,,
RDSR2,35H,,,,,
WRSR,01H,sr1,sr2,,,
,,,,,,
,,,,,,
6_TK TH25Q-16HB,0xcd6015,06H,,,,
256,0,0,1,0,1,1
512,0,0,1,1,0,0
1024,1,0,0,1,0,1
1536,1,0,0,1,0,0
1792,1,0,0,0,1,1
1920,1,0,0,0,1,0
1984,1,0,0,0,0,1
2016,1,1,0,1,0,0
2032,1,1,0,0,1,1
RDSR1,05H,,,,,
RDSR2,35H,,,,,
WRSR,01H,sr1,sr2,,,
,,,,,,
,,,,,,
6_PT P25Q16SHB,0x856015,06H,,,,
256,0,0,1,0,1,1
512,0,0,1,1,0,0
1024,1,0,0,1,0,1
1536,1,0,0,1,0,0
1792,1,0,0,0,1,1
1920,1,0,0,0,1,0
1984,1,0,0,0,0,1
2016,1,1,0,1,0,0
2032,1,1,0,0,1,1
RDSR1,05H,,,,,
RDSR2,35H,,,,,
WRSR,01H,sr1,sr2,,,
,,,,,,
,,,,,,
3_PU P25Q32SUF,0x856016,06H,,,,
512,0,0,1,1,0,0
1024,0,0,1,1,0,1
2048,1,0,0,1,1,0
3072,1,0,0,1,0,1
3584,1,0,0,1,0,0
3840,1,0,0,0,1,1
3968,1,0,0,0,1,0
4032,1,0,0,0,0,1
4064,1,1,1,1,0,0
RDSR1,05H,,,,,
RDSR2,35H,,,,,
WRSR,01H,sr1,sr2,,,
,,,,,,
,,,,,,
8_PU P25D80SUFWF,0x856014,06H,,,,
128,0,0,1,0,1,0
256,0,0,1,0,1,1
512,0,0,1,1,0,0
768,1,0,0,0,1,1
896,1,0,0,0,1,0
960,1,0,0,0,0,1
992,1,1,0,1,0,0
1008,1,1,0,0,1,1
1016,1,1,0,0,1,0
RDSR1,05H,,,,,
RDSR2,35H,,,,,
WRSR,01H,sr1,sr2,,,
,,,,,,
,,,,,,
8_TK TH25Q-80HB,0xcd6014,06H,,,,
128,0,0,1,0,1,0
256,0,0,1,0,1,1
512,0,0,1,1,0,0
768,1,0,0,0,1,1
896,1,0,0,0,1,0
960,1,0,0,0,0,1
992,1,1,0,1,0,0
1008,1,1,0,0,1,1
1016,1,1,0,0,1,0
RDSR1,05H,,,,,
RDSR2,35H,,,,,
WRSR,01H,sr1,sr2,,,
,,,,,,
,,,,,,
,,,,,,
2_PR P25Q21H,0x854012,06H,,,,
16,0,1,1,0,1,1
32,0,1,1,1,0,0
64,0,0,1,1,0,1
128,0,0,1,1,1,0
192,1,0,0,1,0,1
224,1,1,0,1,1,0
240,1,1,0,0,1,1
248,1,1,0,0,1,0
252,1,1,0,0,0,1
RDSR1,05H,,,,,
RDSR2,35H,,,,,
WRSR,01H,sr1,sr2,,,
,,,,,,
,,,,,,
2_TH TH25D-20HA,0xEB6012,06H,,,,
16,0,1,1,0,1,1
32,0,1,1,1,1,0
64,0,0,1,0,0,1
128,0,0,1,0,1,0
192,1,0,0,0,0,1
224,1,1,0,1,1,0
240,1,1,0,0,1,1
248,1,1,0,0,1,0
252,1,1,0,0,0,1
RDSR1,05H,,,,,
RDSR2,35H,,,,,
WRSR,01H,sr1,sr2,,,
,,,,,,
,,,,,,
2_PU P25D22U,0x854412,06H,,,,
16,0,1,1,0,1,1
32,0,1,1,1,1,0
64,0,0,1,0,0,1
128,0,0,1,0,1,0
RDSR1,05H,,,,,
WRSR,01H,sr1,,,,
,,,,,,
,,,,,,
2_BA BY25Q20AW,0x681012,06H,,,,
16,0,1,1,0,1,1
32,0,1,1,1,1,0
64,0,0,1,0,0,1
128,0,0,1,0,1,0
192,1,0,0,0,0,1
224,1,1,0,1,1,0
240,1,1,0,0,1,1
248,1,1,0,0,1,0
252,1,1,0,0,0,1
RDSR1,05H,,,,,
RDSR2,35H,,,,,
WRSR,01H,sr1,,,,
,,,,,,
,,,,,,
4_TK TH25D-40HB,0xCD6013,06H,,,,
64,0,0,1,0,0,1
128,0,0,1,0,1,0
256,0,0,1,0,1,1
384,1,0,0,0,1,0
448,1,0,0,0,0,1
480,1,1,0,1,1,0
496,1,1,0,0,1,1
504,1,1,0,0,1,0
508,1,1,0,0,0,1
RDSR1,05H,,,,,
RDSR2,35H,,,,,
WRSR,01H,sr1,sr2,,,
,,,,,,
,,,,,,
4_ZE ZB25D40B,0x5E3213,06H,,,,
256,0,0,0,1,1,0
384,0,0,0,1,0,1
448,0,0,0,1,0,0
480,0,0,0,0,1,1
496,0,0,0,0,1,0
504,0,0,0,0,0,1
RDSR1,05H,,,,,
WRSR,01H,sr1,,,,
,,,,,,
,,,,,,
4_BA BY25Q40GV,0x681013,06H,,,,
64,0,0,1,0,0,1
128,0,0,1,0,1,0
256,0,0,1,0,1,1
384,1,0,0,0,1,0
448,1,0,0,0,0,1
480,1,1,0,1,1,0
496,1,1,0,0,1,1
504,1,1,0,0,1,0
508,1,1,0,0,0,1
RDSR1,05H,,,,,
RDSR2,35H,,,,,
WRSR,01H,sr1,sr2,,,
,,,,,,
,,,,,,
4_TH TH25D-40HA,0xEB6013,06H,,,,
64,0,0,1,0,0,1
128,0,0,1,0,1,0
256,0,0,1,0,1,1
384,1,0,0,0,1,0
448,1,0,0,0,0,1
480,1,1,0,1,1,0
496,1,1,0,0,1,1
504,1,1,0,0,1,0
508,1,1,0,0,0,1
RDSR1,05H,,,,,
RDSR2,35H,,,,,
WRSR,01H,sr1,sr2,,,
,,,,,,
,,,,,,
4_TL TH25D-40UB,0xCD7013,06H,,,,
64,0,0,1,0,0,1
128,0,0,1,0,1,0
256,0,0,1,0,1,1
384,1,0,0,0,1,0
448,1,0,0,0,0,1
480,1,1,0,1,1,0
496,1,1,0,0,1,1
504,1,1,0,0,1,0
508,1,1,0,0,0,1
RDSR1,05H,,,,,
RDSR2,35H,,,,,
WRSR,01H,sr1,sr2,,,
,,,,,,
,,,,,,
8_ZE ZB25D80B,0x5E3214,06H,,,,
768,0,0,0,1,1,0
896,0,0,0,1,0,1
960,0,0,0,1,0,0
992,0,0,0,0,1,1
1008,0,0,0,0,1,0
1016,0,0,0,0,0,1
RDSR1,05H,,,,,
WRSR,01H,sr1,,,,
,,,,,,
,,,,,,
W25Q32,0xef4016,06H,,,,
128,0,0,1,0,1,0
256,0,0,1,0,1,1
512,0,0,1,1,0,0
1024,0,0,1,1,0,1
2048,0,0,1,1,1,0
3072,1,0,0,1,0,1
3584,1,0,0,1,0,0
3968,1,0,0,0,1,0
4032,1,0,0,0,0,1
RDSR1,05H,,,,,
RDSR2,35H,,,,,
WRSR,01H,sr1,,,,
